"","state_fips_code","state_name","disease","vaccine","time_horizon","vaccine_coverage_estimate","vaccine_effectiveness","declining_coverage_among_new_births","coverage_with_decline_applied","structural_vaccine_coverage","effective_structural_vaccine_coverage","total_population","age_group","age_group_length","age_group_population","waning_rate_annual","basic_reproduction_number","observed_national_cases","duration_infectious_days","duration_sick_days","cost_wage_daily","proportion_hospitalized_given_case","duration_hospitalized_days","cost_hospitalization_daily","death_rate","model_type","endemic_equilibrium_incidence_rate_annual","infections","infections_per_100k","additional_infections","additional_infections_per_100k","cases","cases_per_100k","additional_cases","additional_cases_per_100k","hospitalizations","hospitalizations_per_100k","additional_hospitalizations","additional_hospitalizations_per_100k","deaths","deaths_per_100k","additional_deaths","additional_deaths_per_100k","workdays_lost","workdays_lost_per_100k","additional_workdays_lost","additional_workdays_lost_per_100k","productivity_cost","productivity_cost_per_100k","additional_productivity_cost","additional_productivity_cost_per_100k","hospitalization_cost","hospitalization_cost_per_100k","additional_hospitalization_cost","additional_hospitalization_cost_per_100k","total_cost","total_cost_per_100k","additional_total_cost","additional_total_cost_per_100k","vaccine_adverse_events","vaccine_adverse_events_per_100k","vaccine_adverse_events_avoided","vaccine_adverse_events_avoided_per_100k"
"1","01","Alabama","Rotavirus","Rotavirus",1,0.666,0.915,0,0.666,0.666,0.60939,5054253,"0-4 years",5,294417,0,4,NA,10,5,200,0.0143,5,1748,7.4e-06,"SIR",0.0719950846112491,21196.5768259901,7199.50846112491,0,0,13673.3335580331,4644.20653631859,0,0,195.528669879874,66.4121534693559,0,0,0.101182668329445,0.0343671283687576,0,0,68366.6677901656,23221.032681593,0,0,13673333.5580331,4644206.53631859,0,0,1708920.57475009,580442.22132217,0,0,15382254.1327832,5224648.75764077,0,0,3.137307552,1.0656,0,0
"2","01","Alabama","Rotavirus","Rotavirus",5,0.666,0.915,0,0.666,0.666,0.60939,5054253,"0-4 years",5,294417,0,4,NA,10,5,200,0.0143,5,1748,7.4e-06,"SIR",0.0719950846112491,21196.5768259901,7199.50846112491,0,0,13673.3335580331,4644.20653631859,0,0,195.528669879874,66.4121534693559,0,0,0.101182668329445,0.0343671283687576,0,0,68366.6677901656,23221.032681593,0,0,13673333.5580331,4644206.53631859,0,0,1708920.57475009,580442.22132217,0,0,15382254.1327832,5224648.75764077,0,0,3.137307552,1.0656,0,0
"3","01","Alabama","Rotavirus","Rotavirus",10,0.666,0.915,0,0.666,0.666,0.60939,5054253,"0-4 years",5,294417,0,4,NA,10,5,200,0.0143,5,1748,7.4e-06,"SIR",0.0719950846112491,21196.5768259901,7199.50846112491,0,0,13673.3335580331,4644.20653631859,0,0,195.528669879874,66.4121534693559,0,0,0.101182668329445,0.0343671283687576,0,0,68366.6677901656,23221.032681593,0,0,13673333.5580331,4644206.53631859,0,0,1708920.57475009,580442.22132217,0,0,15382254.1327832,5224648.75764077,0,0,3.137307552,1.0656,0,0
"4","01","Alabama","Rotavirus","Rotavirus",20,0.666,0.915,0,0.666,0.666,0.60939,5054253,"0-4 years",5,294417,0,4,NA,10,5,200,0.0143,5,1748,7.4e-06,"SIR",0.0719950846112491,21196.5768259901,7199.50846112491,0,0,13673.3335580331,4644.20653631859,0,0,195.528669879874,66.4121534693559,0,0,0.101182668329445,0.0343671283687576,0,0,68366.6677901656,23221.032681593,0,0,13673333.5580331,4644206.53631859,0,0,1708920.57475009,580442.22132217,0,0,15382254.1327832,5224648.75764077,0,0,3.137307552,1.0656,0,0
"5","01","Alabama","Rotavirus","Rotavirus",1,0.666,0.915,0.05,0.616,0.656,0.60024,5054253,"0-4 years",5,294417,0,4,NA,10,5,200,0.0143,5,1748,7.4e-06,"SIR",0.0749249549729838,22059.180468281,7492.49549729838,862.603642290851,292.987036173472,14229.7756395184,4833.20448191457,556.442081485306,188.997945595976,203.485791645113,69.1148240913784,7.95712176523986,2.70267062202246,0.105300339732436,0.0357657131661678,0.00411767140299125,0.00139858479741022,71148.8781975921,24166.0224095729,2782.21040742652,944.98972797988,14229775.6395184,4833204.48191457,556442.081485305,188997.945595976,1778465.81897829,604063.562558647,69545.2442281966,23621.3412364763,16008241.4584967,5437268.04447322,625987.3257135,212619.286832452,2.901773952,0.9856,0.2355336,0.0799999999999999
"6","01","Alabama","Rotavirus","Rotavirus",5,0.666,0.915,0.05,0.616,0.616,0.56364,5054253,"0-4 years",5,294417,0,4,NA,10,5,200,0.0143,5,1748,7.4e-06,"SIR",0.0854157117975983,25147.8376203135,8541.57117975983,3951.26079432339,1342.06271863492,16222.1841228714,5509.93459035021,2548.85056483826,865.728054031616,231.977232957061,78.792064642008,36.4485630771872,12.3799111726521,0.120044162509248,0.0407735159685916,0.0188614941798032,0.00640638759983396,81110.9206143569,27549.672951751,12744.2528241913,4328.64027015808,16222184.1228714,5509934.59035021,2548850.56483826,865728.054031616,2027481.01604471,688642.64497115,318560.441294616,108200.42364898,18249665.1389161,6198577.23532136,2867411.00613288,973928.477680595,2.901773952,0.9856,0.2355336,0.0799999999999999
"7","01","Alabama","Rotavirus","Rotavirus",10,0.666,0.915,0.05,0.616,0.616,0.56364,5054253,"0-4 years",5,294417,0,4,NA,10,5,200,0.0143,5,1748,7.4e-06,"SIR",0.0854157117975983,25147.8376203135,8541.57117975983,3951.26079432339,1342.06271863492,16222.1841228714,5509.93459035021,2548.85056483826,865.728054031616,231.977232957061,78.792064642008,36.4485630771872,12.3799111726521,0.120044162509248,0.0407735159685916,0.0188614941798032,0.00640638759983396,81110.9206143569,27549.672951751,12744.2528241913,4328.64027015808,16222184.1228714,5509934.59035021,2548850.56483826,865728.054031616,2027481.01604471,688642.64497115,318560.441294616,108200.42364898,18249665.1389161,6198577.23532136,2867411.00613288,973928.477680595,2.901773952,0.9856,0.2355336,0.0799999999999999
"8","01","Alabama","Rotavirus","Rotavirus",20,0.666,0.915,0.05,0.616,0.616,0.56364,5054253,"0-4 years",5,294417,0,4,NA,10,5,200,0.0143,5,1748,7.4e-06,"SIR",0.0854157117975983,25147.8376203135,8541.57117975983,3951.26079432339,1342.06271863492,16222.1841228714,5509.93459035021,2548.85056483826,865.728054031616,231.977232957061,78.792064642008,36.4485630771872,12.3799111726521,0.120044162509248,0.0407735159685916,0.0188614941798032,0.00640638759983396,81110.9206143569,27549.672951751,12744.2528241913,4328.64027015808,16222184.1228714,5509934.59035021,2548850.56483826,865728.054031616,2027481.01604471,688642.64497115,318560.441294616,108200.42364898,18249665.1389161,6198577.23532136,2867411.00613288,973928.477680595,2.901773952,0.9856,0.2355336,0.0799999999999999
"9","01","Alabama","Rotavirus","Rotavirus",1,0.666,0.915,0.1,0.566,0.646,0.59109,5054253,"0-4 years",5,294417,0,4,NA,10,5,200,0.0143,5,1748,7.4e-06,"SIR",0.077723704482649,22883.1799026681,7772.3704482649,1686.60307667796,572.861987139996,14761.3151994435,5013.74417898543,1087.98164141042,369.537642666835,211.086807352042,71.6965417594916,15.5581374721689,5.28438829013574,0.109233732475882,0.0371017069244922,0.00805106414643707,0.00273457855573458,73806.5759972176,25068.7208949271,5439.90820705207,1847.68821333417,14761315.1994435,5013744.17898543,1087981.64141041,369537.642666834,1844898.69625685,626627.774977957,135978.121506757,46185.5536557864,16606213.8957004,5640371.95396339,1223959.76291717,415723.19632262,2.666240352,0.9056,0.4710672,0.16
"10","01","Alabama","Rotavirus","Rotavirus",5,0.666,0.915,0.1,0.566,0.566,0.51789,5054253,"0-4 years",5,294417,0,4,NA,10,5,200,0.0143,5,1748,7.4e-06,"SIR",0.0962892285992823,28349.1858165149,9628.92285992823,7152.60899052479,2429.41439880333,18287.2865250855,6211.35550090027,4613.95296705243,1567.14896458168,261.508197308723,88.8223836628739,65.9795274288498,22.410230193518,0.135325920285633,0.045964030706662,0.034143251956188,0.0115969023379044,91436.4326254277,31056.7775045013,23069.7648352621,7835.74482290837,18287286.5250855,6211355.50090027,4613952.96705243,1567148.96458167,2285581.64447824,776307.633213517,576661.069728147,195865.411891347,20572868.1695638,6987663.13411379,5190614.03678058,1763014.37647302,2.666240352,0.9056,0.4710672,0.16
